movie;director
tt0048801;nm0002031
tt0048820;nm0003226
tt0048933;nm0003226
tt0048947;nm0514822
tt0048956;nm0006249
tt0048981;nm0557840
tt0049010;nm0712947
tt0049012;nm0406728
tt0049042;nm0305557
tt0049103;nm0792822
tt0049147;nm0826264
tt0049201;nm0745866
tt0049207;nm0314584
tt0049223;nm0928208
tt0049259;nm0167496
tt0049261;nm0828419
tt0049287;nm0000339
tt0049291;nm0733476
tt0049293;nm0477702
tt0049397;nm0752922
tt0049408;nm0485943
tt0049470;nm0000033
tt0049474;nm0425913
tt0049509;nm0005789
tt0049516;nm0900972
tt0049531;nm0167241
tt0049552;nm0869664
tt0049601;nm0177034
tt0049615;nm0590377
tt0049665;nm0318150
tt0049674;nm0000059
tt0049710;nm0408348
tt0049777;nm0703689
tt0049783;nm0161055
tt0049794;nm0443609
tt0049829;nm0591486
tt0049833;nm0001124
tt0049843;nm0802862
tt0049866;nm0557840
tt0049871;nm0497442
tt0049902;nm0000975
tt0050091;nm0757940
tt0050105;nm0564970
tt0050147;nm0000339
tt0050201;nm0834744
tt0050210;nm0432846
tt0050281;nm0330026
tt0050322;nm0788391
tt0050347;nm0728688
tt0050356;nm0694090
tt0050371;nm0001415
tt0050381;nm0290371
tt0050414;nm0590377
tt0050458;nm0000774
tt0050490;nm0001379
tt0050539;nm0000791
tt0050545;nm0128715
tt0050546;nm0388913
tt0050599;nm0002045
tt0050610;nm0627087
tt0050622;nm0900972
tt0050665;nm0746950
tt0050681;nm0678928
tt0050706;nm0004244
tt0050783;nm0000019
tt0050803;nm0001928
tt0050858;nm0006452
tt0050976;nm0000005
tt0050986;nm0000005
tt0051003;nm0000697
tt0051020;nm0348175
tt0051036;nm0533241
tt0051047;nm0091430
tt0051077;nm0425913
tt0051082;nm0314046
tt0051087;nm0542649
tt0051337;nm0432846
tt0051383;nm0196536
tt0051398;nm0001379
tt0051404;nm0001031
tt0051411;nm0943758
tt0051484;nm0522123
tt0051507;nm0128715
tt0051525;nm0006452
tt0051720;nm0654868
tt0051739;nm0623768
tt0051776;nm0733476
tt0051790;nm0001178
tt0051792;nm0006249
tt0051845;nm0000406
tt0051866;nm0796923
tt0051899;nm0542649
tt0051927;nm0419485
tt0051959;nm0503615
tt0051980;nm0455839
tt0051993;nm0468609
