imdb_id;original_language;popularity;revenue;runtime;vote_average;vote_count;genres;continent;action;adventure;animation;comedy;crime;documentary;drama;family;fantasy;history;horror;music;mystery;romance;science_fiction;tv_movie;thriller;war;western
tt0099043;ta;1.976;0.0;150.0;6.6;12.0;['Drama', 'Family'];Asia;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
tt0099073;en;7.367;0.0;126.0;6.7;59.0;['Drama', 'Family'];Americas;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
tt0099142;sv;1.242;1624278.0;111.0;5.1;16.0;['Drama', 'Music'];Europe;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
tt0099143;en;7.342;0.0;103.0;6.1;33.0;['Mystery', 'Thriller'];Europe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
tt0099172;sr;1.92;0.0;105.0;6.2;7.0;['Drama'];World;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0099204;en;10.208;27575086.0;97.0;5.6;174.0;['Comedy', 'Drama', 'Crime'];Americas;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0099266;fr;8.527;0.0;99.0;7.1;217.0;['Adventure', 'Comedy', 'Drama', 'Romance'];Europe;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0099384;en;7.639;0.0;88.0;5.2;55.0;['Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
tt0099385;en;23.272;16853487.0;89.0;6.2;412.0;['Action', 'Crime', 'Thriller'];Americas;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
tt0099395;en;4.868;0.0;95.0;4.4;29.0;['Horror', 'Thriller', 'Romance'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
tt0099399;en;13.569;6698361.0;111.0;5.3;135.0;['Action'];Americas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0099441;en;1.224;0.0;96.0;4.9;9.0;['Horror', 'Thriller'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
tt0099450;en;7.135;0.0;101.0;5.8;37.0;['Comedy', 'Romance'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0099487;en;50.467;53000000.0;105.0;7.7;10734.0;['Fantasy', 'Drama', 'Romance'];Americas;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
tt0099492;fa;1.232;0.0;109.0;5.5;4.0;['Drama', 'Comedy'];Asia;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0099520;en;2.925;0.0;97.0;3.7;24.0;['Crime'];Europe;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0099654;en;8.041;24707633.0;84.0;5.2;156.0;['Comedy', 'Family', 'Fantasy'];Americas;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
tt0099669;fr;7.523;0.0;105.0;7.3;226.0;['Adventure', 'Drama'];Europe;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0099701;en;7.871;0.0;82.0;4.4;45.0;['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller'];Europe;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0
tt0099739;en;15.856;47410000.0;96.0;5.9;459.0;['Action'];Americas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0099785;en;2.618;476684675.0;103.0;7.4;8828.0;['Comedy', 'Family'];Americas;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tt0099810;en;33.213;200512643.0;135.0;7.4;2540.0;['Action', 'Adventure', 'Thriller'];Americas;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
