primaryTitle;startYear;rtRating
The Colossus of New York;1958;
Curse of the Faceless Man;1958;
Lessons of Darkness;1992;100%
La Haine;1995;100%
The Housemaid;1960;100%
Anche libero va bene;2006;100%
Ghost;2020;100%
Everybody in Our Family;2012;100%
Liza the Fox-Fairy;2015;100%
Night Will Fall;2014;100%
The Unseen;2016;100%
Night of the Blood Beast;1958;
No Time for Sergeants;1958;
The Age of Shadows;2016;100%
The Philosopher's Stone;1958;
Sky Ladder: The Art of Cai Guo-Qiang;2016;100%
Bad Match;2017;100%
The Return of Dracula;1958;
Crip Camp;2020;100%
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent;1957;
She Gods of Shark Reef;1958;
The Panama Papers;2018;100%
Go West;1925;100%
Teenage Cave Man;1958;
Terror from the Year 5000;1958;
The Thing That Couldn't Die;1958;
Variety;1925;100%
Baby Face;1933;100%
War of the Colossal Beast;1958;
The Wild Women of Wongo;1958;
Footlight Parade;1933;100%
Tarzan and His Mate;1934;100%
These Three;1936;100%
Beast from Haunted Cave;1959;
Heidi;1937;100%
Gaslight;1940;100%
The Major and the Minor;1942;100%
My Favorite Blonde;1942;100%
The White Sheik;1952;100%
The Devil's Disciple;1959;
First Man Into Space;1959;
The Five Pennies;1959;
The Lusty Men;1952;100%
The Hideous Sun Demon;1958;
The Harder They Fall;1956;100%
Paper Flowers;1959;
Le Beau Serge;1958;100%
Compulsion;1959;100%
Day of the Outlaw;1959;100%
Libel;1959;
The Facts of Murder;1959;
Marie-Octobre;1959;
Middle of the Night;1959;
Dead Ringer;1964;100%
Woman in the Dunes;1964;100%
The Trial of Joan of Arc;1962;100%
Tokyo Olympiad;1965;100%
The Confession;1970;100%
The Railway Children;1970;100%
Sapphire;1959;
First Spaceship on Venus;1960;
Taking Off;1971;100%
The Destiny of a Man;1959;
Teenagers from Outer Space;1959;
Battle in Outer Space;1959;
Cria Cuervos;1976;100%
The Cow and I;1959;
Warlock;1959;
The Ascent;1977;100%
Attack of the Giant Leeches;1959;
The Baroness from the Gas Station;1960;
The Buddy Holly Story;1978;100%
The Lady with the Dog;1960;
The Return of Martin Guerre;1982;100%
The Grey Fox;1982;100%
A Time to Live, a Time to Die;1985;100%
The Gallant Hours;1960;
The Puppetmaster;1993;100%
Raining Stones;1993;100%
The Interview;1998;100%
The Decline of Western Civilization Part III;1998;100%
The Red Angel;1966;100%
Hukkle;2002;100%
Cha no aji;2004;100%
Never Let Go;1960;
Innocent Sorcerers;1960;
The Witcher: Nightmare of the Wolf;2021;100%
How to Die in Oregon;2011;100%
Phineas and Ferb the Movie: Candace Against the Universe;2020;100%
It's Such a Beautiful Day;2012;100%
Dead Sushi;2012;100%
The Tale of The Princess Kaguya;2013;100%
Just Like Our Parents;2017;100%
Mario;2018;100%
Horrors of Spider Island;1960;
Secret Ingredient;2017;100%
King Kong;1933;99%
Sword of Sherwood Forest;1960;
Bicycle Thieves;1948;99%
Tormented;1960;
All About Eve;1950;99%
Everybody Go Home!;1960;
Taxi for Tobruk;1961;
On the Waterfront;1954;99%
Finding Nemo;2003;99%
Rivers and Tides;2001;99%
Cash on Demand;1961;
Moolaade;2004;99%
Chronicle of a Summer;1961;
Selma;2014;99%
Totally Under Control;2020;99%
Gidget Goes Hawaiian;1961;
War of the Buttons;1962;
A Separation;2011;99%
Song of the Sea;2014;99%
The Invisible War;2012;99%
56 Up;2012;99%
My Life as a Zucchini;2016;99%
Mother Joan of the Angels;1961;
Starred Up;2013;99%
The Human Condition III: A Soldier's Prayer;1961;
The Missing Picture;2013;99%
Tower;2016;99%
The Wailing;2016;99%
Faces Places;2017;99%
The Phantom Planet;1961;
BPM (Beats Per Minute);2017;99%
Santo vs. the Vampire Women;1962;
McQueen;2018;99%
Shirkers;2018;99%
Invasion of the Neptune Men;1961;
They Shall Not Grow Old;2018;99%
A Very Private Affair;1962;
A Difficult Life;1961;
Shoplifters;2018;99%
Apollo 11;2019;99%
Saint Frances;2019;99%
The Expedition;1962;
Love at Twenty;1962;
Knock Down the House;2019;99%
E.T. the Extra-Terrestrial;1982;99%
Never Rarely Sometimes Always;2020;99%
Modern Times;1936;98%
Chushingura;1962;
The Creation of the Humanoids;1962;
The Lady Vanishes;1938;98%
The Wizard of Oz;1939;98%
Rashomon;1950;98%
Sunset Blvd.;1950;98%
Ikiru;1952;98%
A Star Is Born;1954;98%
Gusarskaya ballada;1962;
The 400 Blows;1959;98%
One Hundred and One Dalmatians;1961;98%
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;98%
Bullitt;1968;98%
Journey to the Seventh Planet;1962;
Kanchenjungha;1962;
The Friends of Eddie Coyle;1973;98%
Blue Collar;1978;98%
Alien;1979;98%
Apocalypse Now;1979;98%
Wings of Desire;1987;98%
